sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4690180>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-05 15:35:03 -0800,2016-12-05 14:36:50 -0800,2016-12-05 14:36:50 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c48972a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-06 15:37:01 -0800,2016-12-06 15:27:52 -0800,2016-12-06 15:27:52 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4691760>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-06 15:37:01 -0800,2016-12-06 15:34:39 -0800,2016-12-06 15:34:39 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468fe10>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-07 15:50:44 -0800,2016-12-07 15:39:46 -0800,2016-12-07 15:39:46 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468fb40>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-08 11:57:56 -0800,2016-12-08 10:57:01 -0800,2016-12-08 10:57:01 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4692430>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-08 11:57:56 -0800,2016-12-08 11:01:57 -0800,2016-12-08 11:01:57 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c48939c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-08 11:57:56 -0800,2016-12-08 11:31:50 -0800,2016-12-08 11:31:50 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468ff00>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-08 16:07:36 -0800,2016-12-08 16:00:07 -0800,2016-12-08 16:00:07 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468fcd0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-08 16:07:36 -0800,2016-12-08 16:00:15 -0800,2016-12-08 16:00:15 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c48936f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-09 08:12:36 -0800,2016-12-09 07:46:38 -0800,2016-12-09 07:46:38 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4898600>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-09 10:17:53 -0800,2016-12-09 09:09:07 -0800,2016-12-09 09:09:07 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468fd20>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-14 15:07:15 -0800,2016-12-14 14:08:54 -0800,2016-12-14 14:08:54 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c44816d0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-15 15:07:08 -0800,2016-12-15 14:19:42 -0800,2016-12-15 14:19:42 -0800,6
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c448f910>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-20 17:07:32 -0800,2016-12-20 16:33:59 -0800,2016-12-20 16:33:59 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c468c530>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-20 22:08:43 -0800,2016-12-20 22:03:05 -0800,2016-12-20 22:03:05 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c448e470>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-20 22:08:43 -0800,2016-12-20 22:07:03 -0800,2016-12-20 22:07:03 -0800,2
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4490c20>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-20 23:11:57 -0800,2016-12-20 23:00:42 -0800,2016-12-20 23:00:42 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c44917b0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-23 20:09:26 -0800,2016-12-23 19:46:58 -0800,2016-12-23 19:46:58 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c489afe0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-27 23:07:43 -0800,2016-12-27 22:31:01 -0800,2016-12-27 22:31:01 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c489b760>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-28 00:08:16 -0800,2016-12-27 23:37:37 -0800,2016-12-27 23:37:37 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a93bf0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-28 10:34:48 -0800,2016-12-28 10:18:30 -0800,2016-12-28 10:18:30 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c489b8a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-28 10:34:48 -0800,2016-12-28 10:18:50 -0800,2016-12-28 10:18:50 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c489b5d0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-28 10:34:48 -0800,2016-12-28 10:18:58 -0800,2016-12-28 10:18:58 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891530>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-28 10:34:48 -0800,2016-12-28 10:19:18 -0800,2016-12-28 10:19:18 -0800,2
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c48918a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-28 10:34:48 -0800,2016-12-28 10:19:25 -0800,2016-12-28 10:19:25 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891990>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-28 13:07:15 -0800,2016-12-28 12:34:25 -0800,2016-12-28 12:34:25 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891cb0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-29 16:07:08 -0800,2016-12-29 15:23:09 -0800,2016-12-29 15:23:09 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891850>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-29 16:07:08 -0800,2016-12-29 15:23:32 -0800,2016-12-29 15:23:32 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891a80>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-29 16:07:08 -0800,2016-12-29 15:23:53 -0800,2016-12-29 15:23:53 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891d00>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-29 16:07:08 -0800,2016-12-29 15:24:23 -0800,2016-12-29 15:24:23 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891670>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-29 16:07:08 -0800,2016-12-29 15:37:21 -0800,2016-12-29 15:37:21 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4891710>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-12-29 16:07:08 -0800,2016-12-29 15:38:42 -0800,2016-12-29 15:38:42 -0800,1
